model,subj,P_RFS,P_agreeableness,P_neuroticism,P_maximization,P_fluid,P_finliteracy,P_wason,P_dictator_sender,W_base_rate_30eng,W_less_is_more_A,P_mentalaccounting,P_age_bracket,P_education,P_income,P_political_liberalism,W_policy_support_liberal,P_openness,P_conscientiousness,P_numeracy,P_crt2_score,W_prob_maximizing_cards,W_proportion_dom_1A,P_religious_nonattendance
sonnet5,24,4.0,5.5,4.0,3.1666666666666665,1.0,1.0,0.0,5.0,30.0,25.0,3.0,3.0,2.0,3.0,4.0,4.9,5.0,5.5,1.0,1.0,1.0,4.0,4.5
sonnet5,25,2.0833333333333335,6.0,3.3333333333333335,3.0,1.0,1.0,0.0,5.0,50.0,20.0,3.0,5.0,5.0,4.0,5.666666666666667,6.0,6.0,5.25,1.0,1.0,1.0,5.5,6.0
sonnet5,26,3.9166666666666665,5.333333333333333,3.5,4.5,1.0,1.0,1.0,3.0,50.0,40.0,3.3333333333333335,1.0,3.0,3.0,3.0,3.5,5.0,5.5,1.0,1.0,1.0,5.5,4.0
sonnet5,27,4.833333333333333,6.5,2.0,2.6666666666666665,0.6666666666666666,1.0,1.0,5.0,50.0,40.0,3.6666666666666665,6.0,2.0,3.0,2.6666666666666665,4.0,4.5,5.25,1.0,1.0,1.0,6.5,3.0
sonnet5,29,1.5833333333333333,5.166666666666667,3.5,3.6666666666666665,1.0,1.0,0.0,5.0,40.0,40.0,3.0,5.0,5.0,4.0,5.666666666666667,6.0,6.75,4.75,1.0,1.0,1.0,6.5,6.5
sonnet5,30,3.9166666666666665,5.666666666666667,4.0,3.3333333333333335,1.0,1.0,0.0,5.0,30.0,25.0,3.6666666666666665,4.0,2.0,3.0,4.0,5.6,4.75,5.25,1.0,1.0,1.0,5.5,4.5
sonnet5,31,5.416666666666667,5.833333333333333,3.0,2.6666666666666665,0.8333333333333334,1.0,1.0,5.0,50.0,25.0,3.6666666666666665,6.0,2.0,2.0,2.6666666666666665,4.6,4.75,6.0,1.0,1.0,1.0,6.5,2.0
sonnet5,32,1.5,5.5,3.5,3.5,1.0,1.0,0.5,5.0,30.0,20.0,4.0,6.0,3.0,2.0,5.666666666666667,6.1,6.75,4.75,1.0,1.0,1.0,4.0,6.0
sonnet5,33,2.5,5.833333333333333,2.0,3.0,0.8333333333333334,1.0,1.0,5.0,40.0,25.0,3.0,1.0,3.0,4.0,5.0,5.2,5.75,6.0,1.0,1.0,1.0,4.5,6.0
sonnet5,34,4.416666666666667,5.5,2.8333333333333335,2.1666666666666665,1.0,1.0,1.0,3.0,30.0,40.0,2.3333333333333335,6.0,5.0,4.0,2.3333333333333335,3.6,3.5,6.5,1.0,1.0,,,
sonnet5,35,3.3333333333333335,5.833333333333333,3.0,3.0,0.8333333333333334,1.0,1.0,5.0,60.0,40.0,3.0,3.0,6.0,4.0,4.0,5.0,5.5,6.25,1.0,1.0,1.0,6.5,4.0
sonnet5,36,5.416666666666667,5.833333333333333,3.0,2.8333333333333335,1.0,1.0,0.5,4.0,20.0,25.0,3.3333333333333335,5.0,3.0,3.0,2.6666666666666665,3.6,5.5,5.25,1.0,1.0,1.0,4.5,2.0
sonnet5,37,5.0,5.833333333333333,3.8333333333333335,3.1666666666666665,1.0,1.0,1.0,4.0,75.0,40.0,3.3333333333333335,3.0,5.0,5.0,2.6666666666666665,4.3,5.0,6.5,1.0,1.0,1.0,6.5,2.0
sonnet5,38,2.0833333333333335,5.666666666666667,4.0,3.3333333333333335,1.0,1.0,0.0,4.0,75.0,25.0,3.6666666666666665,3.0,3.0,3.0,5.0,5.6,5.5,5.0,1.0,0.75,0.8,3.5,6.0
sonnet5,40,2.1666666666666665,5.5,3.5,4.0,0.8333333333333334,1.0,1.0,3.0,50.0,40.0,3.3333333333333335,3.0,3.0,2.0,5.0,5.9,6.25,4.75,1.0,1.0,1.0,5.5,6.0
sonnet5,41,4.083333333333333,5.666666666666667,3.6666666666666665,3.0,0.8333333333333334,1.0,0.0,5.0,30.0,25.0,3.3333333333333335,5.0,3.0,2.0,4.0,4.1,5.0,5.25,1.0,0.75,1.0,4.0,4.5
sonnet5,42,4.333333333333333,5.333333333333333,4.833333333333333,4.833333333333333,1.0,1.0,1.0,3.0,50.0,15.0,4.333333333333333,1.0,5.0,2.0,3.0,3.6,4.25,6.25,1.0,1.0,1.0,6.5,4.5
sonnet5,43,3.8333333333333335,5.666666666666667,3.5,3.1666666666666665,1.0,1.0,1.0,3.0,70.0,25.0,3.0,3.0,2.0,2.0,4.0,4.9,4.75,5.0,1.0,1.0,1.0,5.5,4.5
sonnet5,44,2.0833333333333335,4.666666666666667,3.3333333333333335,3.5,1.0,1.0,0.5,4.0,70.0,30.0,2.0,2.0,3.0,3.0,5.0,5.2,6.5,4.75,1.0,1.0,1.0,6.5,7.0
sonnet5,45,5.0,5.5,3.6666666666666665,3.0,1.0,1.0,0.0,4.0,30.0,20.0,3.3333333333333335,4.0,2.0,2.0,3.0,4.7,4.5,5.25,1.0,1.0,1.0,4.0,4.5
sonnet5,46,3.0,6.0,3.3333333333333335,3.5,0.8333333333333334,1.0,1.0,4.0,60.0,40.0,3.6666666666666665,5.0,,,,,,,,,,,
sonnet5,47,4.416666666666667,5.0,3.5,3.8333333333333335,0.8333333333333334,1.0,0.5,3.0,60.0,20.0,3.3333333333333335,6.0,5.0,4.0,2.3333333333333335,3.3,4.75,6.25,1.0,1.0,1.0,5.0,3.5
sonnet5,48,4.75,6.0,3.8333333333333335,3.3333333333333335,0.8333333333333334,1.0,1.0,4.0,55.0,40.0,4.0,3.0,5.0,5.0,2.6666666666666665,4.4,5.0,5.5,1.0,1.0,1.0,6.5,2.0
sonnet5,49,2.9166666666666665,5.833333333333333,3.3333333333333335,3.1666666666666665,1.0,1.0,1.0,5.0,50.0,40.0,3.6666666666666665,3.0,6.0,3.0,4.666666666666667,5.3,5.75,5.25,1.0,1.0,1.0,6.0,5.0
sonnet5,50,2.0833333333333335,5.166666666666667,5.166666666666667,3.8333333333333335,1.0,1.0,1.0,2.0,50.0,15.0,5.0,,,,,,,,,,,,
sonnet5,51,3.25,5.666666666666667,2.6666666666666665,2.8333333333333335,0.8333333333333334,1.0,1.0,3.0,75.0,20.0,4.333333333333333,6.0,2.0,3.0,3.3333333333333335,4.0,4.0,5.25,1.0,1.0,1.0,6.5,5.0
sonnet5,52,4.166666666666667,5.5,3.3333333333333335,2.8333333333333335,1.0,1.0,1.0,4.0,30.0,40.0,3.3333333333333335,2.0,5.0,4.0,2.3333333333333335,3.5,4.25,6.0,1.0,1.0,1.0,6.5,4.0
sonnet5,53,3.6666666666666665,5.166666666666667,2.5,3.0,1.0,1.0,1.0,4.0,40.0,40.0,3.3333333333333335,6.0,4.0,4.0,2.0,3.5,5.75,6.25,1.0,1.0,0.8,6.5,4.5
sonnet5,54,2.0833333333333335,5.333333333333333,4.333333333333333,4.333333333333333,1.0,1.0,1.0,4.0,40.0,30.0,3.6666666666666665,2.0,3.0,3.0,5.0,5.9,5.75,5.25,1.0,1.0,0.8,7.0,6.0
sonnet5,55,3.0,5.166666666666667,3.6666666666666665,3.6666666666666665,0.8333333333333334,1.0,1.0,4.0,50.0,25.0,4.0,6.0,6.0,5.0,4.0,5.0,5.75,6.25,1.0,1.0,1.0,5.5,
sonnet5,56,4.833333333333333,6.333333333333333,3.8333333333333335,3.1666666666666665,1.0,1.0,0.0,5.0,30.0,20.0,4.0,5.0,2.0,3.0,2.6666666666666665,4.8,5.5,6.0,1.0,1.0,1.0,4.0,2.0
sonnet5,57,3.0,5.5,4.833333333333333,4.166666666666667,1.0,1.0,0.0,4.0,30.0,20.0,3.0,4.0,5.0,3.0,4.333333333333333,5.5,5.5,5.5,1.0,1.0,1.0,5.0,6.0
sonnet5,58,5.0,5.833333333333333,3.8333333333333335,2.8333333333333335,1.0,1.0,0.0,5.0,30.0,20.0,3.6666666666666665,6.0,2.0,2.0,3.0,4.7,5.0,6.0,1.0,1.0,1.0,4.5,2.0
sonnet5,59,2.9166666666666665,6.333333333333333,4.0,3.3333333333333335,0.8333333333333334,1.0,1.0,5.0,70.0,25.0,4.0,2.0,3.0,2.0,5.0,5.6,5.5,5.0,1.0,1.0,1.0,7.0,2.0
sonnet5,60,2.0,5.333333333333333,2.5,3.6666666666666665,1.0,1.0,0.0,4.0,30.0,25.0,3.0,6.0,5.0,3.0,5.666666666666667,6.0,6.75,5.0,1.0,1.0,1.0,6.5,7.0
sonnet5,61,3.75,6.0,3.3333333333333335,3.0,1.0,1.0,0.0,5.0,30.0,25.0,3.0,6.0,2.0,2.0,4.0,4.9,5.5,5.25,1.0,1.0,1.0,4.5,4.0
sonnet5,62,3.1666666666666665,5.333333333333333,3.1666666666666665,4.0,0.8333333333333334,1.0,1.0,3.0,50.0,40.0,4.0,1.0,3.0,3.0,3.0,3.5,4.75,5.5,1.0,1.0,1.0,7.0,4.5
sonnet5,63,3.0833333333333335,5.5,3.3333333333333335,3.1666666666666665,1.0,1.0,1.0,4.0,70.0,25.0,3.6666666666666665,5.0,5.0,4.0,3.3333333333333335,3.9,4.75,6.0,1.0,1.0,0.8,3.0,4.0
sonnet5,64,2.1666666666666665,5.0,3.0,3.6666666666666665,1.0,1.0,1.0,4.0,70.0,40.0,3.0,5.0,5.0,5.0,3.6666666666666665,4.4,6.25,5.25,1.0,1.0,1.0,6.5,6.0
sonnet5,65,4.166666666666667,5.666666666666667,2.8333333333333335,2.3333333333333335,1.0,1.0,1.0,3.0,90.0,30.0,3.3333333333333335,6.0,2.0,3.0,3.0,4.8,4.25,6.25,1.0,1.0,1.0,6.5,4.0
sonnet5,66,5.583333333333333,5.5,3.0,2.3333333333333335,0.6666666666666666,1.0,0.0,3.0,70.0,40.0,4.0,6.0,2.0,3.0,2.0,2.9,4.5,5.75,1.0,1.0,1.0,5.0,4.5
sonnet5,67,3.1666666666666665,6.333333333333333,3.1666666666666665,3.1666666666666665,0.8333333333333334,1.0,0.5,5.0,60.0,20.0,3.3333333333333335,6.0,5.0,4.0,4.666666666666667,5.5,5.75,5.75,1.0,1.0,1.0,4.0,4.5
sonnet5,68,2.1666666666666665,5.333333333333333,2.8333333333333335,3.0,0.8333333333333334,1.0,0.5,4.0,50.0,20.0,3.0,6.0,4.0,4.0,3.6666666666666665,4.8,5.5,6.25,1.0,1.0,1.0,7.0,5.0
sonnet5,69,4.166666666666667,5.5,4.833333333333333,4.666666666666667,0.8333333333333334,1.0,1.0,3.0,50.0,25.0,3.6666666666666665,,,,,,,,,,,,
sonnet5,70,2.8333333333333335,4.666666666666667,3.3333333333333335,3.5,1.0,1.0,0.0,4.0,30.0,20.0,4.0,5.0,3.0,5.0,3.0,4.0,5.25,5.75,1.0,1.0,1.0,4.0,5.0
sonnet5,71,1.9166666666666667,5.5,3.6666666666666665,3.8333333333333335,0.8333333333333334,1.0,1.0,3.0,60.0,30.0,3.3333333333333335,4.0,5.0,4.0,5.666666666666667,6.1,6.0,5.0,1.0,1.0,1.0,3.0,6.0
sonnet5,72,4.416666666666667,5.5,2.6666666666666665,2.8333333333333335,1.0,1.0,1.0,3.0,70.0,40.0,4.0,5.0,3.0,4.0,2.3333333333333335,3.3,4.0,5.5,1.0,1.0,0.8,6.5,4.5
sonnet5,74,2.0833333333333335,6.333333333333333,3.1666666666666665,3.0,1.0,1.0,0.0,5.0,40.0,40.0,3.6666666666666665,5.0,6.0,4.0,5.666666666666667,6.0,5.75,5.25,1.0,1.0,1.0,6.5,4.5
sonnet5,75,5.083333333333333,6.166666666666667,3.0,2.8333333333333335,0.8333333333333334,1.0,1.0,4.0,60.0,40.0,3.3333333333333335,5.0,7.0,5.0,2.6666666666666665,3.5,,,,,,,
sonnet5,76,5.0,5.5,4.5,3.3333333333333335,1.0,1.0,0.0,4.0,30.0,15.0,3.3333333333333335,5.0,2.0,2.0,3.0,5.3,5.25,5.5,1.0,1.0,1.0,5.0,4.5
sonnet5,77,4.25,5.666666666666667,3.0,2.8333333333333335,0.8333333333333334,1.0,1.0,4.0,20.0,30.0,3.0,6.0,5.0,5.0,2.6666666666666665,3.6,5.25,6.0,1.0,1.0,1.0,3.0,4.0
sonnet5,78,2.9166666666666665,5.833333333333333,3.1666666666666665,3.0,1.0,1.0,0.0,5.0,30.0,20.0,3.3333333333333335,1.0,2.0,3.0,4.333333333333333,4.8,5.75,4.25,1.0,1.0,1.0,4.0,5.0
sonnet5,79,5.0,5.5,2.6666666666666665,2.5,0.8333333333333334,1.0,1.0,3.0,85.0,15.0,3.6666666666666665,5.0,2.0,3.0,2.0,2.9,3.25,6.25,1.0,1.0,1.0,6.5,3.5
sonnet5,80,2.0833333333333335,5.0,3.5,3.8333333333333335,0.8333333333333334,1.0,0.5,5.0,30.0,25.0,2.3333333333333335,3.0,5.0,5.0,4.666666666666667,4.9,6.5,5.25,1.0,1.0,1.0,5.5,6.0
sonnet5,81,4.0,5.333333333333333,2.6666666666666665,2.3333333333333335,0.8333333333333334,1.0,1.0,3.0,60.0,40.0,3.3333333333333335,4.0,2.0,2.0,2.3333333333333335,4.0,3.25,5.25,1.0,1.0,1.0,7.0,4.5
sonnet5,83,3.0,6.166666666666667,3.8333333333333335,3.0,1.0,1.0,1.0,3.0,40.0,25.0,3.0,2.0,6.0,3.0,3.3333333333333335,5.0,5.25,6.25,1.0,1.0,1.0,6.0,4.5
sonnet5,84,3.5833333333333335,5.5,2.8333333333333335,3.0,0.8333333333333334,1.0,1.0,4.0,75.0,30.0,3.0,4.0,3.0,3.0,3.0,3.6,4.75,5.75,1.0,1.0,1.0,6.5,4.0
sonnet5,85,2.25,5.5,3.8333333333333335,4.0,1.0,1.0,0.0,5.0,75.0,15.0,2.6666666666666665,5.0,6.0,4.0,4.333333333333333,5.1,5.75,5.5,1.0,1.0,1.0,5.0,5.0
sonnet5,86,5.416666666666667,5.0,3.3333333333333335,3.0,1.0,1.0,1.0,3.0,50.0,40.0,3.3333333333333335,4.0,3.0,5.0,2.0,3.1,4.25,6.0,1.0,1.0,1.0,6.5,2.0
sonnet5,87,2.3333333333333335,5.666666666666667,3.8333333333333335,3.3333333333333335,1.0,1.0,0.0,4.0,50.0,40.0,3.3333333333333335,3.0,3.0,3.0,5.0,5.8,5.75,5.5,1.0,1.0,1.0,3.0,6.0
sonnet5,88,2.1666666666666665,5.5,3.5,2.8333333333333335,1.0,1.0,0.0,3.0,60.0,35.0,4.0,3.0,2.0,2.0,5.0,5.0,4.25,5.25,1.0,0.75,1.0,2.5,6.0
sonnet5,89,5.25,4.833333333333333,2.3333333333333335,2.0,1.0,1.0,1.0,3.0,50.0,40.0,3.3333333333333335,4.0,3.0,5.0,2.0,2.9,4.0,6.25,1.0,1.0,1.0,6.5,3.0
sonnet5,90,4.833333333333333,6.0,2.0,2.8333333333333335,1.0,1.0,1.0,5.0,60.0,20.0,3.6666666666666665,6.0,3.0,2.0,2.0,3.2,4.5,5.25,1.0,1.0,0.8,6.5,3.5
sonnet5,91,2.9166666666666665,4.166666666666667,3.1666666666666665,3.6666666666666665,1.0,1.0,1.0,3.0,75.0,20.0,3.3333333333333335,5.0,2.0,2.0,3.0,4.3,,,,,,,
sonnet5,92,2.0,5.833333333333333,3.5,3.0,0.8333333333333334,1.0,1.0,4.0,40.0,40.0,3.0,5.0,3.0,4.0,5.666666666666667,5.9,5.75,6.25,1.0,1.0,1.0,6.5,7.0
sonnet5,93,4.083333333333333,5.333333333333333,3.3333333333333335,2.5,0.6666666666666666,1.0,1.0,3.0,50.0,20.0,4.0,3.0,2.0,3.0,3.0,4.2,3.5,6.0,1.0,1.0,1.0,6.5,4.0
sonnet5,94,3.0,5.666666666666667,2.0,2.8333333333333335,0.8333333333333334,1.0,0.5,4.0,70.0,30.0,2.3333333333333335,2.0,2.0,4.0,3.0,4.0,4.5,5.25,1.0,1.0,0.8,6.5,6.0
sonnet5,95,4.25,5.5,2.6666666666666665,2.8333333333333335,0.8333333333333334,1.0,1.0,4.0,75.0,40.0,4.0,5.0,3.0,4.0,2.0,3.0,4.25,6.0,1.0,1.0,1.0,7.0,4.0
sonnet5,96,3.9166666666666665,6.0,3.1666666666666665,2.6666666666666665,1.0,1.0,0.0,5.0,30.0,20.0,4.0,6.0,2.0,3.0,3.3333333333333335,4.8,5.5,5.25,1.0,1.0,1.0,5.0,4.5
sonnet5,97,5.333333333333333,5.833333333333333,3.1666666666666665,3.1666666666666665,1.0,1.0,1.0,4.0,85.0,35.0,4.0,3.0,3.0,4.0,2.6666666666666665,4.3,5.5,6.0,1.0,,,,
sonnet5,98,2.0833333333333335,4.5,3.5,3.6666666666666665,1.0,1.0,1.0,3.0,60.0,40.0,3.0,2.0,3.0,2.0,4.0,4.0,,,,,,,
sonnet5,99,5.25,5.166666666666667,3.8333333333333335,3.8333333333333335,1.0,1.0,0.0,3.0,30.0,25.0,3.3333333333333335,1.0,2.0,2.0,2.0,3.7,4.75,5.25,1.0,1.0,1.0,6.5,3.5
sonnet5,100,3.0,6.0,2.8333333333333335,2.5,1.0,1.0,0.0,5.0,30.0,20.0,3.3333333333333335,6.0,2.0,3.0,4.0,4.9,5.25,5.25,1.0,1.0,1.0,4.0,5.0
sonnet5,101,3.0833333333333335,5.666666666666667,2.6666666666666665,2.1666666666666665,0.8333333333333334,1.0,1.0,4.0,40.0,30.0,3.0,6.0,6.0,4.0,4.0,5.1,4.25,6.25,1.0,1.0,1.0,6.5,4.0
sonnet5,102,3.4166666666666665,5.5,4.166666666666667,3.6666666666666665,1.0,1.0,0.0,5.0,30.0,20.0,3.3333333333333335,3.0,3.0,3.0,4.666666666666667,5.6,5.5,5.25,1.0,1.0,1.0,5.0,4.5
sonnet5,103,2.0,,,,,,,,,,,,,,,,,,,,,,
sonnet5,105,3.25,5.5,3.3333333333333335,3.1666666666666665,1.0,1.0,1.0,4.0,70.0,25.0,3.6666666666666665,3.0,3.0,3.0,4.0,4.8,5.0,5.25,1.0,1.0,1.0,6.5,4.0
sonnet5,106,4.083333333333333,5.666666666666667,3.1666666666666665,3.3333333333333335,1.0,1.0,0.5,5.0,50.0,20.0,3.3333333333333335,6.0,2.0,2.0,3.0,3.9,5.75,5.25,1.0,1.0,1.0,3.0,4.0
sonnet5,107,3.5833333333333335,5.166666666666667,3.5,3.6666666666666665,1.0,1.0,0.0,4.0,30.0,25.0,3.0,1.0,3.0,4.0,3.0,3.9,5.25,5.25,1.0,1.0,1.0,4.0,5.0
sonnet5,108,4.25,5.5,4.333333333333333,3.3333333333333335,1.0,1.0,0.5,4.0,30.0,20.0,3.6666666666666665,4.0,2.0,2.0,2.6666666666666665,5.0,4.75,4.75,1.0,1.0,1.0,4.5,4.5
sonnet5,109,4.416666666666667,4.833333333333333,3.5,3.8333333333333335,1.0,1.0,0.0,3.0,50.0,40.0,3.0,6.0,2.0,2.0,2.6666666666666665,3.7,4.0,5.5,1.0,1.0,0.8,6.5,4.0
sonnet5,110,3.0,5.666666666666667,3.5,3.0,0.8333333333333334,1.0,1.0,3.0,50.0,40.0,3.6666666666666665,6.0,2.0,4.0,4.0,5.2,5.0,6.0,1.0,1.0,1.0,6.5,4.5
sonnet5,111,3.25,5.666666666666667,3.1666666666666665,3.0,0.8333333333333334,1.0,0.0,4.0,50.0,40.0,3.3333333333333335,3.0,2.0,3.0,4.333333333333333,5.2,4.5,5.25,1.0,1.0,0.7,6.5,5.5
sonnet5,112,5.166666666666667,5.5,3.5,3.6666666666666665,1.0,1.0,1.0,3.0,70.0,25.0,3.6666666666666665,2.0,2.0,2.0,2.6666666666666665,4.6,4.25,5.25,1.0,1.0,,,
sonnet5,113,2.3333333333333335,5.833333333333333,4.333333333333333,3.0,0.8333333333333334,1.0,0.5,5.0,50.0,40.0,3.3333333333333335,1.0,5.0,3.0,4.666666666666667,4.7,5.5,5.0,1.0,1.0,1.0,4.0,5.0
sonnet5,114,4.083333333333333,5.166666666666667,2.6666666666666665,2.6666666666666665,1.0,1.0,0.5,4.0,75.0,30.0,4.0,6.0,3.0,4.0,3.0,3.8,4.25,6.25,1.0,1.0,1.0,6.0,4.5
sonnet5,115,2.25,5.5,3.8333333333333335,4.0,1.0,1.0,0.0,3.0,50.0,40.0,4.0,1.0,2.0,2.0,5.0,5.7,5.75,4.5,1.0,1.0,1.0,6.5,7.0
sonnet5,117,4.666666666666667,4.833333333333333,2.8333333333333335,2.8333333333333335,1.0,1.0,1.0,3.0,70.0,20.0,3.3333333333333335,5.0,4.0,5.0,2.3333333333333335,2.9,4.75,6.25,1.0,1.0,1.0,6.5,3.5
sonnet5,118,2.1666666666666665,6.0,2.0,2.0,1.0,1.0,1.0,5.0,40.0,40.0,3.3333333333333335,5.0,5.0,5.0,5.666666666666667,6.0,5.75,5.5,1.0,1.0,1.0,5.5,6.0
sonnet5,119,1.9166666666666667,4.833333333333333,3.5,3.8333333333333335,1.0,1.0,0.0,5.0,45.0,40.0,2.6666666666666665,2.0,5.0,3.0,5.666666666666667,5.9,6.25,5.25,1.0,1.0,1.0,4.5,6.0
sonnet45,0,3.25,5.666666666666667,3.1666666666666665,5.0,1.0,1.0,1.0,2.0,70.0,35.0,4.333333333333333,1.0,5.0,2.0,4.333333333333333,5.4,6.25,6.5,1.0,1.0,1.0,3.0,4.5
sonnet45,1,2.25,6.166666666666667,3.3333333333333335,3.3333333333333335,1.0,1.0,1.0,4.0,75.0,35.0,4.0,5.0,2.0,2.0,6.0,6.8,5.25,6.25,1.0,1.0,1.0,3.0,4.5
sonnet45,2,3.8333333333333335,6.0,3.0,2.3333333333333335,1.0,1.0,1.0,3.0,70.0,35.0,4.666666666666667,6.0,3.0,3.0,3.0,4.5,4.25,6.25,1.0,1.0,1.0,4.0,3.0
sonnet45,3,1.8333333333333333,6.166666666666667,3.5,3.3333333333333335,1.0,1.0,1.0,4.0,75.0,25.0,4.0,6.0,2.0,2.0,6.0,6.8,4.75,5.75,1.0,1.0,1.0,3.0,6.0
sonnet45,4,1.9166666666666667,5.166666666666667,4.5,4.333333333333333,1.0,1.0,1.0,3.0,70.0,30.0,4.0,4.0,2.0,2.0,6.333333333333333,6.2,4.25,4.0,1.0,1.0,1.0,3.0,6.5
