pair_id,group,construct_x,construct_y,label,model,lit_r,lit_direction,needs_citation_check,r_human,n_human,icc_x,icc_y,r_sim,n_sim,sd_x_sim,sd_y_sim,r_sim_ci_lo,r_sim_ci_hi,r_gpt41mini_b0,abs_diff,signed_diff,abs_r_human,abs_r_sim,sign_flip,n_sim_sides,sim_degenerate,n_pol,r_human_disattenuated,abs_r_human_dis,excess_vs_dis
F06,famous,P_actual_total,W_prob_maximizing_cards,cognitive ability x probability maximizing (card task),sonnet45,0.3,positive,True,0.4435116630287594,1032,,0.5285521771164868,,117,0.0,0.0,,,,,,0.4435116630287594,,,2,True,0,0.6100439324422456,0.6100439324422456,
F06,famous,P_actual_total,W_prob_maximizing_cards,cognitive ability x probability maximizing (card task),sonnet5,0.3,positive,True,0.4435116630287594,1032,,0.5285521771164868,,120,0.0,0.03703847647374009,,,,,,0.4435116630287594,,,2,True,0,0.6100439324422456,0.6100439324422456,
F07,famous,P_numeracy,W_denom_neglect_avoid,numeracy x avoiding denominator neglect (marble trays),sonnet45,0.25,positive,True,0.2511496038577124,2058,,0.4027890022795802,,117,0.0,0.18806097925581491,,,-0.0217,,,0.2511496038577124,,,2,True,0,0.39572518921758937,0.39572518921758937,
F07,famous,P_numeracy,W_denom_neglect_avoid,numeracy x avoiding denominator neglect (marble trays),sonnet5,0.25,positive,True,0.2511496038577124,2058,,0.4027890022795802,0.10479860126349079,120,0.032138966462319646,0.471272456207745,0.0646153498506261,0.175529400253613,-0.0217,0.14635100259422162,-0.14635100259422162,0.2511496038577124,0.10479860126349079,False,2,False,0,0.39572518921758937,0.39572518921758937,-0.2909265879540986
F08,famous,P_crt2_score,W_linda_conjunction_rating,cognitive reflection x conjunction-fallacy rating (expected negative),sonnet45,-0.2,negative,True,0.0308170329775738,1029,,0.3863746667377972,,117,0.0,0.31979583820219903,,,0.0004,,,0.0308170329775738,,,2,True,0,0.049577714404732465,0.049577714404732465,
F08,famous,P_crt2_score,W_linda_conjunction_rating,cognitive reflection x conjunction-fallacy rating (expected negative),sonnet5,-0.2,negative,True,0.0308170329775738,1029,,0.3863746667377972,0.05742561638987065,120,0.12205924538417194,0.5120228187754708,-0.1039497407976545,0.20654313081157835,0.0004,0.026608583412296848,0.026608583412296848,0.0308170329775738,0.05742561638987065,False,2,False,0,0.049577714404732465,0.049577714404732465,0.007847901985138184
F09,famous,P_female,W_risk_perception,female x perceived risk (white-male effect),sonnet45,0.15,positive,True,0.1246266749776372,2058,,0.5123508813306387,0.11585645729566141,117,0.48648095484031045,0.23531118287311784,-0.07261764929948801,0.2781117404688173,0.066,0.008770217681975792,-0.008770217681975792,0.1246266749776372,0.11585645729566141,False,1,False,0,0.17411142278696717,0.17411142278696717,-0.058254965491305766
F09,famous,P_female,W_risk_perception,female x perceived risk (white-male effect),sonnet5,0.15,positive,True,0.1246266749776372,2058,,0.5123508813306387,0.15777364225381224,120,0.4861527926641233,0.33209899261569364,-0.024900137425247975,0.32492022090923195,0.066,0.03314696727617504,0.03314696727617504,0.1246266749776372,0.15777364225381224,False,1,False,0,0.17411142278696717,0.17411142278696717,-0.016337780533154933
F10,famous,P_political_liberalism,W_vaccine_acceptance,political liberalism x vaccine acceptance,sonnet45,0.2,positive,True,0.290988555726335,2058,,0.5769886166215518,0.43637710181237294,117,1.165055095089822,1.0340504057704514,0.2970814793306353,0.5576896379932986,0.2681,0.14538854608603796,0.14538854608603796,0.290988555726335,0.43637710181237294,False,2,False,2,0.3830824766039487,0.3830824766039487,0.05329462520842426
F10,famous,P_political_liberalism,W_vaccine_acceptance,political liberalism x vaccine acceptance,sonnet5,0.2,positive,True,0.290988555726335,2058,,0.5769886166215518,0.5038317767193085,120,1.13260260949018,0.6333345618937419,0.37455154782459565,0.6272568686856121,0.2681,0.21284322099297348,0.21284322099297348,0.290988555726335,0.5038317767193085,False,2,False,2,0.3830824766039487,0.3830824766039487,0.12074930011535978
U01,undiscussed,W_policy_support_liberal,W_myside_ford,"W_policy_support_liberal x W_myside_ford (panel-selected, no literature narrative)",sonnet45,,,False,0.4151008866619699,1015,0.9233018893181602,0.5945212499563236,0.45630376063826944,117,0.787505584540381,0.43852900965351466,0.26152352796821315,0.6284640611213623,0.6041,0.041202873976299514,0.041202873976299514,0.4151008866619699,0.45630376063826944,False,2,False,1,0.5602709537337419,0.5602709537337419,-0.10396719309547248
U01,undiscussed,W_policy_support_liberal,W_myside_ford,"W_policy_support_liberal x W_myside_ford (panel-selected, no literature narrative)",sonnet5,,,False,0.4151008866619699,1015,0.9233018893181602,0.5945212499563236,0.20483598108445483,120,0.9003018479193223,0.5373969838092533,0.028689934767744396,0.3689890556670414,0.6041,0.2102649055775151,-0.2102649055775151,0.4151008866619699,0.20483598108445483,False,2,False,1,0.5602709537337419,0.5602709537337419,-0.3554349726492871
U02,undiscussed,W_policy_support_liberal,W_proportion_dom_1A,"W_policy_support_liberal x W_proportion_dom_1A (panel-selected, no literature narrative)",sonnet45,,,False,0.4116147571694853,735,0.9233018893181602,0.6504847622784646,-0.4884722989148139,117,0.787505584540381,0.5695769651640642,-0.6302016438394452,-0.33210718870901684,0.6188,0.9000870560842993,-0.9000870560842993,0.4116147571694853,0.4884722989148139,True,2,False,1,0.5311296064670082,0.5311296064670082,-0.04265730755219432
U02,undiscussed,W_policy_support_liberal,W_proportion_dom_1A,"W_policy_support_liberal x W_proportion_dom_1A (panel-selected, no literature narrative)",sonnet5,,,False,0.4116147571694853,735,0.9233018893181602,0.6504847622784646,0.021132839892891535,120,0.9003018479193223,1.0806419919871422,-0.16373279319148587,0.21713960081156986,0.6188,0.39048191727659376,-0.39048191727659376,0.4116147571694853,0.021132839892891535,False,2,False,1,0.5311296064670082,0.5311296064670082,-0.5099967665741167
U03,undiscussed,P_BES,W_proportion_dom_1A,"P_BES x W_proportion_dom_1A (panel-selected, no literature narrative)",sonnet45,,,False,0.2840203827996981,735,,0.6504847622784646,-0.041443841888131897,117,0.42372448633316245,0.5695769651640642,-0.22970059899274708,0.15847837792416394,0.3565,0.32546422468783,-0.32546422468783,0.2840203827996981,0.041443841888131897,True,2,False,0,0.35215263683252845,0.35215263683252845,-0.31070879494439657
U03,undiscussed,P_BES,W_proportion_dom_1A,"P_BES x W_proportion_dom_1A (panel-selected, no literature narrative)",sonnet5,,,False,0.2840203827996981,735,,0.6504847622784646,-0.1364428325000889,120,0.5749155034737312,1.0806419919871422,-0.3157747260371196,0.04627690725492732,0.3565,0.42046321529978703,-0.42046321529978703,0.2840203827996981,0.1364428325000889,True,2,False,0,0.35215263683252845,0.35215263683252845,-0.21570980433243955
U04,undiscussed,P_agency,W_purchase_intent,"P_agency x W_purchase_intent (panel-selected, no literature narrative)",sonnet45,,,False,0.277540733545641,2058,,0.858447708470587,0.25610069488654813,117,1.0367101352399735,0.2744980265590243,0.08339939033781679,0.41992242458606244,0.2023,0.021440038659092886,-0.021440038659092886,0.277540733545641,0.25610069488654813,False,2,False,0,0.2995503345548522,0.2995503345548522,-0.04344963966830406
U04,undiscussed,P_agency,W_purchase_intent,"P_agency x W_purchase_intent (panel-selected, no literature narrative)",sonnet5,,,False,0.277540733545641,2058,,0.858447708470587,0.14163176399270425,120,0.7258603511004854,0.3420061054416319,-0.03549779809861542,0.3158103096356052,0.2023,0.13590896955293677,-0.13590896955293677,0.277540733545641,0.14163176399270425,False,2,False,0,0.2995503345548522,0.2995503345548522,-0.15791857056214795
U05,undiscussed,P_religious_nonattendance,W_purchase_intent,"P_religious_nonattendance x W_purchase_intent (panel-selected, no literature narrative)",sonnet45,,,False,-0.265708959750884,2058,,0.858447708470587,0.21730275059715196,117,1.382080275741668,0.2744980265590243,0.06702765901637782,0.36873337858641114,-0.1589,0.4830117103480359,0.4830117103480359,0.265708959750884,0.21730275059715196,True,2,False,0,-0.28678027463132766,0.28678027463132766,-0.0694775240341757
U05,undiscussed,P_religious_nonattendance,W_purchase_intent,"P_religious_nonattendance x W_purchase_intent (panel-selected, no literature narrative)",sonnet5,,,False,-0.265708959750884,2058,,0.858447708470587,0.28409552019049433,120,1.0367123077129863,0.3420061054416319,0.14705552231448848,0.4230447428905769,-0.1589,0.5498044799413784,0.5498044799413784,0.265708959750884,0.28409552019049433,True,2,False,0,-0.28678027463132766,0.28678027463132766,-0.0026847544408333257
U06,undiscussed,P_BES,W_myside_german,"P_BES x W_myside_german (panel-selected, no literature narrative)",sonnet45,,,False,0.2398899747604188,1043,,0.577032850574686,0.18523499207037164,117,0.42372448633316245,0.5111489113253315,0.012177183053074962,0.3456012265494595,0.2518,0.05465498269004715,-0.05465498269004715,0.2398899747604188,0.18523499207037164,False,2,False,0,0.3157997847040485,0.3157997847040485,-0.13056479263367687
U06,undiscussed,P_BES,W_myside_german,"P_BES x W_myside_german (panel-selected, no literature narrative)",sonnet5,,,False,0.2398899747604188,1043,,0.577032850574686,0.07853726743756126,120,0.5749155034737312,0.5373969838092533,-0.09931384958165358,0.25607378899637484,0.2518,0.16135270732285753,-0.16135270732285753,0.2398899747604188,0.07853726743756126,False,2,False,0,0.3157997847040485,0.3157997847040485,-0.23726251726648726
U07,undiscussed,P_overplacement,W_benefit_perception,"P_overplacement x W_benefit_perception (panel-selected, no literature narrative)",sonnet45,,,False,0.2044037114340887,2058,,0.6636961910192111,0.35167093152221024,117,0.37496656911816784,0.26252517317159685,0.2197912226877917,0.4766038322971102,0.1732,0.14726722008812154,0.14726722008812154,0.2044037114340887,0.35167093152221024,False,2,False,0,0.2509019950196101,0.2509019950196101,0.10076893650260016
U07,undiscussed,P_overplacement,W_benefit_perception,"P_overplacement x W_benefit_perception (panel-selected, no literature narrative)",sonnet5,,,False,0.2044037114340887,2058,,0.6636961910192111,0.28275398246177363,120,0.31872762915583824,0.33257310015510677,0.12013673825025087,0.4227365591563811,0.1732,0.07835027102768494,0.07835027102768494,0.2044037114340887,0.28275398246177363,False,2,False,0,0.2509019950196101,0.2509019950196101,0.031851987442163554
U08,undiscussed,W_perceived_public_support_lib,W_myside_ford,"W_perceived_public_support_lib x W_myside_ford (panel-selected, no literature narrative)",sonnet45,,,False,0.2022033764706398,1015,0.6316392342915025,0.5945212499563236,0.3343942495957602,117,3.8777129631954046,0.43852900965351466,0.16799724364913743,0.48943269714280746,0.608,0.1321908731251204,0.1321908731251204,0.2022033764706398,0.3343942495957602,False,2,False,1,0.3299667377074997,0.3299667377074997,0.004427511888260516
U08,undiscussed,W_perceived_public_support_lib,W_myside_ford,"W_perceived_public_support_lib x W_myside_ford (panel-selected, no literature narrative)",sonnet5,,,False,0.2022033764706398,1015,0.6316392342915025,0.5945212499563236,0.041036654838871166,120,2.6133913648304397,0.5373969838092533,-0.13979595184322677,0.21458708650496736,0.608,0.16116672163176862,-0.16116672163176862,0.2022033764706398,0.041036654838871166,False,2,False,1,0.3299667377074997,0.3299667377074997,-0.28893008286862853
U09,undiscussed,W_perceived_public_support_lib,W_vaccine_acceptance,"W_perceived_public_support_lib x W_vaccine_acceptance (panel-selected, no literature narrative)",sonnet45,,,False,0.1975559359088715,2058,0.6316392342915025,0.5769886166215518,0.6195661857112139,117,3.8777129631954046,1.0340504057704514,0.5121844773202117,0.7078208598517202,0.3222,0.4220102498023424,0.4220102498023424,0.1975559359088715,0.6195661857112139,False,2,False,2,0.3272441650788261,0.3272441650788261,0.2923220206323878
U09,undiscussed,W_perceived_public_support_lib,W_vaccine_acceptance,"W_perceived_public_support_lib x W_vaccine_acceptance (panel-selected, no literature narrative)",sonnet5,,,False,0.1975559359088715,2058,0.6316392342915025,0.5769886166215518,0.27728702292070345,120,2.6133913648304397,0.6333345618937419,0.09223154119769439,0.4462222297165814,0.3222,0.07973108701183196,0.07973108701183196,0.1975559359088715,0.27728702292070345,False,2,False,2,0.3272441650788261,0.3272441650788261,-0.049957142158122636
U10,undiscussed,W_risk_perception,W_myside_german,"W_risk_perception x W_myside_german (panel-selected, no literature narrative)",sonnet45,,,False,0.179691923989645,1043,0.5123508813306387,0.577032850574686,0.03721452020786179,117,0.23531118287311784,0.5111489113253315,-0.16133674792921468,0.2158400773113426,0.3118,0.14247740378178322,-0.14247740378178322,0.179691923989645,0.03721452020786179,False,2,False,0,0.3304795159104336,0.3304795159104336,-0.2932649957025718
U10,undiscussed,W_risk_perception,W_myside_german,"W_risk_perception x W_myside_german (panel-selected, no literature narrative)",sonnet5,,,False,0.179691923989645,1043,0.5123508813306387,0.577032850574686,-0.08573545382675235,120,0.33209899261569364,0.5373969838092533,-0.29347347952557346,0.11743890442994444,0.3118,0.26542737781639736,-0.26542737781639736,0.179691923989645,0.08573545382675235,True,2,False,0,0.3304795159104336,0.3304795159104336,-0.24474406208368127
