effect_id,doi_o,ref_o,description,discipline,disc_cat,n_o,r_o,n_r,r_r,gap,gap_band,quota_stratum,in_A0,sim_round1,sim_round2,sim_round1_uncalibrated,simulable_final,sim_admission,sim_needs_review,sim_round1_provenance,narr_round1,narr_round1_reason,narr_round2,narr_round2_reason,narrative_final,narrative_disagreement,narrative_manual_adjudication_needed,audit_tier,selection_reason
1712,10.1037/0022-3514.94.1.116,"Shnabel, N., & Nadler, A. (2008). A needs-based model of reconciliation: Satisfying the differential emotional needs of victim and perpetrator as a key to promoting reconciliation. Journal of Personality and Social Psychology, 94(1), 116–132. https://doi.org/10.1037/0022-3514.94.1.116","After condition a message of acceptance was more effective in promoting reconciliation among perpetrators, whereas a message of empowerment was more effective in promoting reconciliation among victims",Social Psychology,social,94.0,0.2645751311064591,1376.0,0.09,0.174575131106459,mid,mid,False,SIMULABLE,,NOT_SIMULABLE,True,confirmed,False,calibrated full-pool rerun,obscure,A niche interaction effect from a single small study; neither the original finding nor its weak replication has broad recognition.,obscure,This narrow perpetrator/victim messaging finding is too niche to have entered common researcher lore either way.,obscure,False,False,B_calibrated_only,stratified quota (gap x narrative x discipline)
232,10.1145/3105726.3106182,"Edwards, S. H., Kandru, N., & Rajagopal, M. B. M. (2017). Investigating Static Analysis Errors in Student Java Programs. Proceedings of the 2017 ACM Conference on International Computing Education Research, 65–73. https://doi.org/10.1145/3105726.3106182",relationship between overall grades and all static analysis errors,Education,other,3691.0,-0.27,1270.0,-0.53,-0.26,low,low,False,SIMULABLE,,NOT_SIMULABLE,True,confirmed,False,calibrated full-pool rerun,obscure,This niche CS-education correlation study and its replication have little visibility outside specialist software-engineering-education circles.,obscure,Niche software-engineering-education correlational study; too specialized to have any widespread default association among researchers.,obscure,False,False,B_calibrated_only,stratified quota (gap x narrative x discipline)
760,10.1073/pnas.1516868113,"John, L. K., Barasz, K., & Norton, M. I. (2016). Hiding personal information reveals the worst. Proceedings of the National Academy of Sciences, 113(4), 954–959. https://doi.org/10.1073/pnas.1516868113","Seven experiments explore people’s decisions to withhold or disclose personal information—and the wisdom of such decisions. Declining a request to disclose often makes a worse impression even than divulging unsavory personal information. Moreover, those who withhold fail to intuit this negative consequence: people withhold even when they would make a better impression by “coming clean.” In short, people should be aware not just of the risk of revealing, but the risk of hiding.",Judgment and Decision Making,jdm,142.0,0.1899761158124235,1224.0,0.0194962936194799,0.1704798221929436,mid,mid,False,SIMULABLE,,NOT_SIMULABLE,True,confirmed,False,calibrated full-pool rerun,obscure,"This is a niche JDM finding with a large gap but no evident broad citation, media coverage, or debate outside specialists.",obscure,A niche disclosure/impression-management finding with no widely-known original result or replication-failure narrative attached.,obscure,False,False,B_calibrated_only,stratified quota (gap x narrative x discipline)
1920,10.1037/0022-3514.90.4.543,"Kozak, M. N., Marsh, A. A., & Wegner, D. M. (2006). What do i think you’re doing? Action identification and mind attribution. Journal of Personality and Social Psychology, 90(4), 543–555. https://doi.org/10.1037/0022-3514.90.4.543",Action identification is positively correlated with mind attribution.,Psychology,psych_general,50.0,0.3,1086.0,0.08,0.2199999999999999,mid,mid,False,SIMULABLE,SIMULABLE,SIMULABLE,True,confirmed,False,calibrated full-pool rerun,obscure,"This specific finding is a niche CORE-project replication result, unknown outside specialist judgment-and-decision-making circles.",obscure,"This is a niche, low-powered finding with no cultural footprint; neither the effect nor its replication failure is widely known.",obscure,False,False,A_dual_confirmed,stratified quota (gap x narrative x discipline)
1940,10.1111/1467-9280.00350,"Mellers, B., Hertwig, R., & Kahneman, D. (2001). Do Frequency Representations Eliminate Conjunction Effects? An Exercise in           Adversarial Collaboration. Psychological Science, 12(4), 269–275. https://doi.org/10.1111/1467-9280.00350",The frequency estimate for the “and” conjunction phrase will be higher than the phrase describing unlikely target alone.,Psychology,psych_general,108.0,0.282945147243684,1032.0,0.237962230135701,0.0449829171079829,low,low,False,SIMULABLE,,NOT_SIMULABLE,True,confirmed,False,calibrated full-pool rerun,original_dominates,"The Linda/conjunction fallacy remains a textbook staple; this large, high-powered replication is barely known outside specialist meta-science circles.",original_dominates,The Linda/conjunction fallacy is a textbook heuristics-and-biases icon; its minor effect-size shrinkage in replication is not commonly discussed.,original_dominates,False,False,B_calibrated_only,stratified quota (gap x narrative x discipline)
1995,10.1126/science.1215647,"Gervais, W. M., & Norenzayan, A. (2012). Analytic Thinking Promotes Religious Disbelief. Science, 336(6080), 493–496. https://doi.org/10.1126/science.1215647",Analytic Priming,Psychology,psych_general,57.0,0.2873478855663454,952.0,0.0349785821756186,0.2523693033907268,high,high,False,SIMULABLE,SIMULABLE,SIMULABLE,True,confirmed,False,calibrated full-pool rerun,failure_dominates,"Analytic priming (e.g., ""CRT priming"") is now widely cited in psychology as a textbook replication-crisis failure case.",failure_dominates,"Analytic priming (e.g., ""elevated diction"" cueing analytic thinking) is a textbook social-priming replication failure widely cited post-crisis.",failure_dominates,False,False,A_dual_confirmed,stratified quota (gap x narrative x discipline)
1386,10.1111/j.1467-9280.2006.01720.x,"Peters, E., Västfjäll, D., Slovic, P., Mertz, C. K., Mazzocco, K., & Dickert, S. (2006). Numeracy and Decision Making. Psychological Science, 17(5), 407–413. https://doi.org/10.1111/j.1467-9280.2006.01720.x",The less numerate show a stronger framing effect than the highly numerate.,Psychology,psych_general,100.0,0.3316624790355399,860.0,0.1,0.2316624790355399,mid,mid,False,SIMULABLE,SIMULABLE,SIMULABLE,True,confirmed,False,calibrated full-pool rerun,obscure,"This numeracy-framing moderation finding is a niche JDM result, largely unknown beyond specialist decision-making researchers.",obscure,This numeracy-moderated framing-effect finding is too niche in JDM literature to have a widely shared default association.,obscure,False,False,A_dual_confirmed,stratified quota (gap x narrative x discipline)
884,10.1023/a:1008184423824,"Klink, R. R. (2000). Creating Brand Names With Meaning: The Use of Sound Symbolism. Marketing Letters, 11(1), 5–20. https://doi.org/10.1023/a:1008184423824","Products with brand names containing front vowel sounds, as opposed to back vowel sounds, are perceived as: (j) friendlier",Marketing,marketing,171.0,0.245,823.0,0.252,-0.007,low,low,True,SIMULABLE,,NOT_SIMULABLE,True,confirmed,False,"calibrated prompt, A0 anchor-calibration test batch",obscure,"This niche sound-symbolism finding, despite replicating well, has minimal visibility beyond specialist marketing/psycholinguistics circles.",obscure,"A niche sound-symbolism marketing finding, too specific and low-profile to carry any widely shared reputation, positive or negative.",obscure,False,False,A0_calibrated_mandated,A0 mandated
1347,10.1177/1948550617720269,"Glikson, E., Cheshin, A., & Kleef, G. A. van. (2017). The Dark Side of a Smiley. Social Psychological and Personality Science, 9(5), 614–625. https://doi.org/10.1177/1948550617720269",Including a smiling emoticon reduced the perceived competence of the candidate.,Social Psychology,social,85.0,0.3387194682727416,823.0,0.1093404791528976,0.229378989119844,mid,mid,False,SIMULABLE,SIMULABLE,SIMULABLE,True,confirmed,False,calibrated full-pool rerun,contested,The emoticon-competence effect (Glikson et al.) is still cited in HR/CMC research while replication debates over effect size persist in the literature.,obscure,Too niche a finding to have entered general awareness beyond specialists tracking emoticon/impression-formation research.,DISAGREE,True,True,A_dual_confirmed,stratified quota (gap x narrative x discipline)
1407,10.1002/(sici)1099-0771(200001/03)13:1<1::aid-bdm333>3.0.co;2-s,"Finucane, M. L., Alhakami, A., Slovic, P., & Johnson, S. M. (2000). The affect heuristic in judgments of risks and benefits. Journal of Behavioral Decision Making, 13(1), 1–17. https://doi.org/10.1002/(sici)1099-0771(200001/03)13:1<1::aid-bdm333>3.0.co;2-s",increasing benefits leads people to judge its risks as lower,Psychology,psych_general,219.0,-0.75,776.0,-0.87,-0.12,low,low,False,SIMULABLE,,NOT_SIMULABLE,True,confirmed,False,calibrated full-pool rerun,original_dominates,"The affect heuristic (risk-benefit inverse correlation) remains a textbook JDM finding; replication strengthened rather than weakened it, so no controversy exists.",original_dominates,"The risk-benefit inverse relationship (affect heuristic) is a well-known robust finding; replication strengthened it, so no failure narrative exists.",original_dominates,False,False,B_calibrated_only,stratified quota (gap x narrative x discipline)
1959,10.1093/jcr/ucz031,"Park, H., Lalwani, A. K., & Silvera, D. H. (2019). The Impact of Resource Scarcity on Price-Quality Judgments. Journal of Consumer Research, 46(6), 1110–1124. https://doi.org/10.1093/jcr/ucz031",Scarcity decreases consumers’ tendency to use price to judge product quality.,Marketing,marketing,149.0,0.2236067977499789,773.0,0.0399680383488715,0.1836387594011073,mid,mid,False,SIMULABLE,SIMULABLE,SIMULABLE,True,confirmed,False,calibrated full-pool rerun,obscure,This niche marketing finding lacks broad citation or public awareness; neither the original nor its replication has gained notable traction.,obscure,Niche marketing lab finding on scarcity and price-quality judgment; too specific to have entered general researcher awareness either way.,obscure,False,False,A_dual_confirmed,stratified quota (gap x narrative x discipline)
1193,10.1037/0033-2909.129.6.914,"Thoresen, C. J., Kaplan, S. A., Barsky, A. P., Warren, C. R., & de Chermont, K. (2003). The Affective Underpinnings of Job Perceptions and Attitudes: A Meta-Analytic Review and Integration. Psychological Bulletin, 129(6), 914–945. https://doi.org/10.1037/0033-2909.129.6.914",Occupational commitment is negatively correlated with negative emotionality.,Differential Psychology,personality,713.0,-0.19,748.0,-0.26,-0.07,low,low,False,SIMULABLE,SIMULABLE,SIMULABLE,True,confirmed,False,calibrated full-pool rerun,obscure,A narrow personality-trait correlation with a stronger replication is unlikely to attract attention outside specialist literature.,obscure,"A narrow personality-trait correlation like this lacks the fame needed for either a ""classic finding"" or ""failed replication"" reputation to form.",obscure,False,False,A_dual_confirmed,stratified quota (gap x narrative x discipline)
1406,10.1037/a0027407,"Carter, T. J., & Gilovich, T. (2012). I am what I do, not what I have: The differential centrality of experiential and material purchases to the self. Journal of Personality and Social Psychology, 102(6), 1304–1317. https://doi.org/10.1037/a0027407",Knowledge of one’s experiential purchases is perceived as providing greater insight into one’s true self than knowledge of one’s material purchases.,Psychology,psych_general,121.0,0.1823885229561945,743.0,0.3090860723375581,-0.1266975493813635,low,low,False,SIMULABLE,SIMULABLE,SIMULABLE,True,confirmed,False,calibrated full-pool rerun,obscure,A niche JDM sub-finding with no mainstream cultural or textbook traction; replication actually strengthened it but drew little notice.,obscure,"A niche experiential-vs-material purchases sub-finding within JDM literature, too specific to have formed any widely shared default association.",obscure,False,False,A_dual_confirmed,stratified quota (gap x narrative x discipline)
629,10.1126/science.1189993,"Ackerman, J. M., Nocera, C. C., & Bargh, J. A. (2010). Incidental Haptic Sensations Influence Social Judgments and Decisions. Science, 328(5986), 1712–1715. https://doi.org/10.1126/science.1189993",Incidental Haptic Sensations Influence Social Judgments and Decisions,Social Psychology,social,54.0,0.26111568302638,599.0,0.063,0.19811568302638,mid,mid,False,SIMULABLE,,NOT_SIMULABLE,True,confirmed,False,calibrated full-pool rerun,failure_dominates,"This ""embodied cognition"" priming effect became a textbook replication-crisis example, now mainly cited as a cautionary non-replication.",failure_dominates,"""Warmth/heavy = trustworthy"" priming study is a textbook cited replication-crisis casualty from the Social Sciences Replication Project.",failure_dominates,False,False,B_calibrated_only,stratified quota (gap x narrative x discipline)
1826,10.1016/j.poetic.2015.07.001,"Black, J. E., & Barnes, J. L. (2015). The effects of reading material on social and non-social cognition. Poetics, 52, 32–43. https://doi.org/10.1016/j.poetic.2015.07.001",The effects of reading material on transportation,Cognitive Psychology,cognitive,60.0,0.3261363455467632,594.0,0.0099995000374968,0.3161368455092663,high,high,False,SIMULABLE,SIMULABLE,SIMULABLE,True,confirmed,False,calibrated full-pool rerun,obscure,This niche narrative-transportation effect and its replication failure are rarely discussed outside specialist cognitive psychology circles.,obscure,"Niche narrative-transportation finding, too specialized in cognitive psychology to have a widely shared default association either way.",obscure,False,False,A_dual_confirmed,stratified quota (gap x narrative x discipline)
1884,10.1093/jcr/ucz028,"Huang, F., Wong, V. C., & Wan, E. W. (2019). The Influence of Product Anthropomorphism on Comparative Judgment. Journal of Consumer Research. https://doi.org/10.1093/jcr/ucz028",Consumers will be more likely to use a holistic process (vs. an attribute-by-attribute comparison) to judge anthropomorphized products.,Marketing,marketing,101.0,0.6708203932499369,584.0,0.0499376169438922,0.6208827763060447,high,high,False,SIMULABLE,SIMULABLE,SIMULABLE,True,confirmed,False,calibrated full-pool rerun,obscure,This niche marketing/anthropomorphism finding and its replication failure are known only within specialist consumer-behavior circles.,obscure,"A niche marketing/anthropomorphism finding, too specific and low-profile for either a ""classic effect"" or ""famous failure"" narrative to have formed.",obscure,False,False,A_dual_confirmed,stratified quota (gap x narrative x discipline)
1747,10.1037/0096-3445.136.2.289,"Van Boven, L., & Ashworth, L. (2007). Looking forward, looking back: Anticipation is more evocative than retrospection. Journal of Experimental Psychology: General, 136(2), 289–300. https://doi.org/10.1037/0096-3445.136.2.289","Simply adopting a future or past temporal perspective, independent of people’s actual temporal relation to an emotional event, is sufficient to produce more intense emotion during anticipation than during retrospection (hypothetical future ski vacation)",Cognitive Psychology,cognitive,95.0,0.0698291276999138,564.0,-0.0049999375011718,0.064829190198742,mid,mid,True,SIMULABLE,SIMULABLE,SIMULABLE,True,confirmed,False,"calibrated prompt, A0 anchor-calibration test batch",obscure,This narrow effect on hypothetical temporal framing shows minimal citation traction; neither the original nor its null replication is widely discussed.,obscure,"A niche, low-power finding on temporal framing of emotion; too specific and marginal to have entered common researcher lore either way.",obscure,False,False,A_dual_confirmed_A0,A0 mandated
1928,10.1177/0956797614563108,"Kupor, D. M., Laurin, K., & Levav, J. (2015). Anticipating Divine Protection? Reminders of God Can Increase Nonmoral Risk Taking. Psychological Science, 26(4), 374–384. https://doi.org/10.1177/0956797614563108",Implicitly priming God using the scrambled-sentence paradigm increases self-reported risk taking,Social Psychology,social,61.0,0.2758634886606276,556.0,0.0698291276999138,0.2060343609607137,mid,mid,False,SIMULABLE,SIMULABLE,SIMULABLE,True,confirmed,False,calibrated full-pool rerun,obscure,"A niche priming-effect finding, mostly known within replication-crisis social psychology circles, not broader public or scientific discourse.",obscure,"Niche priming study; unlike ego-depletion or power-posing, it never entered general awareness as either finding or replication failure.",obscure,False,False,A_dual_confirmed,stratified quota (gap x narrative x discipline)
1814,10.1037/a0023527,"Bargh, J. A., & Shalev, I. (2012). The substitutability of physical and social warmth in daily life. Emotion, 12(1), 154–162. https://doi.org/10.1037/a0023527",People lacking social warmth compensate through physical warmth in the form of hot showers/baths,Social Psychology,social,51.0,0.57,553.0,0.08,0.4899999999999999,high,high,True,SIMULABLE,,NOT_SIMULABLE,True,confirmed,False,"calibrated prompt, A0 anchor-calibration test batch",contested,"This embodied-cognition warmth finding is a textbook replication-crisis example, cited both as classic evidence and as a cautionary failure.",failure_dominates,Embodied-warmth/loneliness-showers finding is a textbook cited casualty of the social priming replication crisis.,DISAGREE,True,True,A0_calibrated_mandated,A0 mandated
